pool_a,pool_b,offset_a_vs_b
7,17,-58.66280692275501
7,18,7.791174845204248
7,19,-0.8194478140867645
7,20,3.4109871348906413
7,21,7.801223511440309
7,22,4.666957990339167
7,23,9.159100303813961
7,24,-6.8955431119004
7,25,2.5929996348406372
7,26,-2.406747642261412
7,27,-17.819302985233332
7,28,14.017125115157347
7,29,0.786982689755956
7,30,3.1656967391387694
7,31,-2.0066812462402845
7,32,-5.294583070184014
7,33,0.6322476929612079
7,34,6.153204194539122
7,35,-1.2792467661110607
7,36,0.06220940561739014
7,37,0.061762381323304444
7,38,-1.7677776698711207
7,39,5.100768391869926
7,40,-2.814071345514296
7,41,-0.3409854628339357
7,42,2.8668618067035503
7,43,-4.7054940395475
7,44,-1.6479810053461519
7,45,-13.421096249322803
7,46,-5.064763417337946
7,47,-1.2052351796315088
7,48,-0.7165670120657083
7,49,-1.8152451515151187
7,50,0.1392051770755417
7,51,-0.2975786910270352
7,52,-2.013710991709259
7,53,0.0
7,54,0.0
7,55,0.0
7,56,-0.8771966315192266
8,9,-13.224836167760621
8,10,-4.55803820120198
8,11,-20.556905194692742
8,12,12.008493207078542
8,13,5.523420120459743
8,14,-14.912531272594697
8,15,-21.085494105544065
8,16,-6.32055478684053
8,17,-20.876749299560405
8,18,4.0081297287254785
8,19,-1.4858623919311036
8,20,-11.33713587383905
8,21,-1.2433398440434034
8,22,-1.395669580098014
8,23,0.3224802051936254
8,24,-9.88552567381147
8,25,0.14654877140805075
8,26,-4.432914756317719
8,27,-17.539772213958457
8,28,5.792084290558462
8,29,-1.1682343866565765
8,30,-0.3853196121746232
8,31,-1.8897074831898117
8,32,4.804564330887191
8,33,-2.278057507287143
8,34,0.7377391111666136
8,35,2.4344681666161483
8,36,-2.327606544899287
8,37,-3.864026203534904
8,38,6.996221076171816
8,39,-3.644661486969003
8,40,4.295598305615546
8,41,-3.073067112210699
8,42,-3.972490377580254
8,43,7.526823696148191
8,44,-1.2896953827729334
8,45,-4.83976781979633
8,46,-9.742854175287645
8,47,-2.63546757625196
8,48,0.2310061846981866
8,49,-1.0888128261618475
8,50,0.1827579838903999
8,51,-1.4383779992517067
8,52,-0.6405195250758062
8,53,0.3213190975044422
8,54,0.0
8,55,0.20165725095210169
8,56,-0.5192237669850965
9,10,-33.396850804273434
9,11,3.605805433968703
9,12,-4.48811305850587
9,13,16.755552232527887
9,14,12.44868193142077
9,15,17.072216525425418
9,16,8.153613679414269
9,17,-23.927376153684506
9,18,-3.9005939918030115
9,19,-2.3267156309490944
9,20,-2.0653707715986256
9,21,5.705746086794878
9,22,-4.079391478498533
9,23,-5.355674345004238
9,24,-2.7629079558533873
9,25,1.449480351516775
9,26,0.6974421655035902
9,27,-36.83715278874111
9,28,-8.072907780118546
9,29,-1.594304804161527
9,30,-1.5634603645134262
9,31,2.501427161015821
